filename,obsdate,exptime,obsmode,obstype,program,piname,sunagl,seeing,ccfjdsum,ccfrvmod,dvrms,swversion,extsnr,flaggedval
neidL2_20231014T150415.fits,2023-10-14 15:04:15,54.855241,hr,Eng,2023B-2002,Mahadevan,18.5523,0.0,2460232.1233224,-0.5849,4.0E-4,v1.3.0,288.7131,
neidL2_20231014T150537.fits,2023-10-14 15:05:37,54.999511,hr,Eng,2023B-2002,Mahadevan,18.821,0.0,2460232.12427578,-0.6334,3.0E-4,v1.3.0,363.8661,
neidL2_20231014T150700.fits,2023-10-14 15:07:00,55.0004,hr,Eng,2023B-2002,Mahadevan,19.0897,0.0,2460232.12522595,-0.6466,3.0E-4,v1.3.0,366.7524,
neidL2_20231014T150823.fits,2023-10-14 15:08:23,55.000064,hr,Eng,2023B-2002,Mahadevan,19.3579,0.0,2460232.12618407,-0.6437,3.0E-4,v1.3.0,359.724,
neidL2_20231014T150945.fits,2023-10-14 15:09:45,55.000307,hr,Eng,2023B-2002,Mahadevan,19.6258,0.0,2460232.1271438,-0.6394,3.0E-4,v1.3.0,348.8824,
neidL2_20231014T151108.fits,2023-10-14 15:11:08,55.000336,hr,Eng,2023B-2002,Mahadevan,19.8931,0.0,2460232.12809598,-0.6432,3.0E-4,v1.3.0,331.3796,
neidL2_20231014T151231.fits,2023-10-14 15:12:31,54.999869,hr,Eng,2023B-2002,Mahadevan,20.16,0.0,2460232.1290571,-0.643,3.0E-4,v1.3.0,345.7185,
neidL2_20231014T151353.fits,2023-10-14 15:13:53,54.999813,hr,Eng,2023B-2002,Mahadevan,20.4264,0.0,2460232.12999125,-0.7018,3.0E-4,v1.3.0,319.9191,
neidL2_20231014T151516.fits,2023-10-14 15:15:16,55.000454,hr,Eng,2023B-2002,Mahadevan,20.6924,0.0,2460232.13097569,-0.6231,3.0E-4,v1.3.0,322.8685,
neidL2_20231014T151801.fits,2023-10-14 15:18:01,55.000339,hr,Eng,2023B-2002,Mahadevan,21.2228,0.0,2460232.13288647,-0.6754,3.0E-4,v1.3.0,352.8642,
neidL2_20231014T151924.fits,2023-10-14 15:19:24,55.000174,hr,Eng,2023B-2002,Mahadevan,21.4873,0.0,2460232.13384,-0.678,3.0E-4,v1.3.0,371.8588,
neidL2_20231014T152047.fits,2023-10-14 15:20:47,54.999944,hr,Eng,2023B-2002,Mahadevan,21.7513,0.0,2460232.13479628,-0.6907,3.0E-4,v1.3.0,371.6602,
neidL2_20231014T152210.fits,2023-10-14 15:22:10,54.99998,hr,Eng,2023B-2002,Mahadevan,22.0147,0.0,2460232.13575008,-0.7092,3.0E-4,v1.3.0,366.3631,
neidL2_20231014T152332.fits,2023-10-14 15:23:32,55.000176,hr,Eng,2023B-2002,Mahadevan,22.2776,0.0,2460232.13671109,-0.7095,3.0E-4,v1.3.0,360.9553,
