line,MF1,MF2,offset,MF1_err,MF2_err,rms_ms,rms_binned_ms,nsubgrid,rotation,rot_A,rot_B,rot_C
FeI_5250.2,-3.5881342610299782,-53.496921859557254,1169.678160747645,20.68354412831192,29.005746482892633,8.813692944390185,6.6657297642544675,40,spectroscopic,14.113,-1.698,-2.346
FeI_5250.6,-19.348569508544298,-19.155107432308405,1247.573594000243,18.386969738166407,25.784931067019244,7.835002967488513,5.75230502648794,40,spectroscopic,14.113,-1.698,-2.346
FeI_5379,-81.93660458776462,73.53514466716142,1177.9344105534722,25.23124959320235,35.095915875870844,10.675362823402025,7.858346921043552,40,spectroscopic,14.113,-1.698,-2.346
TiII_5381,-42.81964091442094,-16.062055633689923,797.6130769254823,28.301765026894266,39.36808280521827,11.974930105212868,7.766898545884448,40,spectroscopic,14.113,-1.698,-2.346
FeI_5382,-1.7228420194465603,-37.64634281167761,2252.12234955269,57.20014723486195,79.56512594715902,24.20195339417496,13.120002314554233,40,spectroscopic,14.113,-1.698,-2.346
FeI_5383,-65.00660794847536,114.98054202041074,1237.928020561068,14.511076145017556,20.18478273233862,6.139761600043719,3.665242757627805,40,spectroscopic,14.113,-1.698,-2.346
MnI_5432,-26.48046093277361,23.27680903806707,341.14437373681244,31.015420625433364,43.07107203054361,13.103701885089485,6.184470347229559,40,spectroscopic,14.113,-1.698,-2.346
FeI_5432,-90.73905985995907,74.44250357548964,1198.0652406887443,25.939282812764883,36.02152265345754,10.958966191094593,9.093552579131652,40,spectroscopic,14.113,-1.698,-2.346
FeI_5434,-35.471554414262584,7.093719825017856,1077.3565624907144,16.208326151787578,22.50826102268087,6.847773642731767,5.00629585413151,40,spectroscopic,14.113,-1.698,-2.346
NiI_5435,-35.37988814633845,0.653769180813798,922.9320781720555,25.71297659047442,35.707343362503345,10.86338778686351,7.857865001092493,40,spectroscopic,14.113,-1.698,-2.346
FeI_5436.3,83.12679820344516,-283.52625583375254,1288.8362205452843,45.41984173424315,63.076659878675656,19.19022669061579,15.154950662230139,40,spectroscopic,14.113,-1.698,-2.346
FeI_5436.6,8.151730087440962,-81.05240501902651,1118.8490913677285,27.83260975203451,38.651816720426204,11.759256751046408,7.952208552985785,40,spectroscopic,14.113,-1.698,-2.346
FeI_5576,-64.00146621020552,57.95906308001074,1105.4044246204116,18.892532892366788,26.016838986586592,7.923833705987479,5.816088839327148,40,spectroscopic,14.113,-1.698,-2.346
NiI_5578,-67.96210383335199,45.87022211300454,1304.9376410645525,27.93954637432593,38.42108823212166,11.702760262100067,8.09833518886332,40,spectroscopic,14.113,-1.698,-2.346
FeII_6149,-52.69508477524872,41.72027793796688,1041.234824230553,52.89461178479556,71.06106114447118,21.708438435798506,16.35944415638001,40,spectroscopic,14.113,-1.698,-2.346
FeI_6151,-81.29084600835454,118.64595030519271,907.8655363640048,31.2995329974029,42.049120037974866,12.845575545311673,8.965305718937628,40,spectroscopic,14.113,-1.698,-2.346
CaI_6169.0,-57.133649720980266,36.290866644435724,554.517169582503,25.653687094431938,34.39450271742486,10.509185881375453,7.5481750497650095,40,spectroscopic,14.113,-1.698,-2.346
CaI_6169.5,-32.3938156414328,12.06894672467455,603.2369545576842,20.410912920835134,27.364172416983877,8.361004999780475,6.002895440696179,40,spectroscopic,14.113,-1.698,-2.346
FeI_6170,-43.609088131479744,-22.28270735199157,1109.999506598763,32.59430656512066,43.70263094278377,13.353433087278948,9.26180115521075,40,spectroscopic,14.113,-1.698,-2.346
FeI_6173,-62.87859964445751,24.25463327974717,1156.6035260742972,29.009405731910455,38.89291094697974,11.88362565708366,9.49003652350232,40,spectroscopic,14.113,-1.698,-2.346
FeI_6301,-55.48276914853359,70.0920520386279,957.1654568434656,18.359208995857614,24.555912195217353,7.5058571835342285,5.4692114477712845,40,spectroscopic,14.113,-1.698,-2.346
FeI_6302,-79.52197415169489,63.53577297327383,1239.9242907498874,29.220867203038562,39.083113051444236,11.946265668059334,10.26340405960062,40,spectroscopic,14.113,-1.698,-2.346
